epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9203,1.45132,7.07099,0.01397,0.61475,0.20792,0.14841,0.09551,1.24951,2.53204,0.01104,0.000302044,0.000302044,0.000302044
2,142.383,1.43504,4.20728,0.01438,0.71199,0.33553,0.36223,0.21852,1.36937,1.77351,0.01204,0.000593064,0.000593064,0.000593064
3,217.415,1.48923,2.69381,0.0152,0.60404,0.34078,0.35067,0.23792,1.37965,1.8138,0.01453,0.000872086,0.000872086,0.000872086
4,290.832,1.51202,2.19163,0.01564,0.34114,0.44529,0.4068,0.27368,1.37364,1.50499,0.01292,0.000855005,0.000855005,0.000855005
5,351.806,1.49337,1.93772,0.01583,0.57848,0.48017,0.48187,0.30378,1.42696,1.45417,0.01475,0.000837007,0.000837007,0.000837007
6,409.287,1.48045,1.81807,0.01505,0.42081,0.6201,0.50792,0.30726,1.37054,1.41475,0.0133,0.000819009,0.000819009,0.000819009
7,466.669,1.46814,1.69105,0.01528,0.43837,0.54305,0.51459,0.33372,1.35324,1.17786,0.01248,0.000801011,0.000801011,0.000801011
8,524.145,1.42201,1.61407,0.01466,0.47481,0.60698,0.55748,0.36399,1.28935,1.15239,0.01236,0.000783013,0.000783013,0.000783013
9,581.584,1.42145,1.53516,0.01439,0.58456,0.56114,0.56877,0.36933,1.4463,1.23134,0.01448,0.000765014,0.000765014,0.000765014
10,638.949,1.39291,1.48202,0.01404,0.56685,0.60471,0.564,0.37888,1.34638,1.17204,0.01301,0.000747016,0.000747016,0.000747016
11,696.149,1.37731,1.44456,0.01366,0.79791,0.56882,0.60868,0.40508,1.28198,1.07239,0.01193,0.000729018,0.000729018,0.000729018
12,753.383,1.3743,1.39408,0.01369,0.74978,0.63537,0.65996,0.41357,1.21129,1.09863,0.0111,0.00071102,0.00071102,0.00071102
13,810.604,1.36316,1.3659,0.01371,0.72094,0.57441,0.61159,0.43095,1.18161,1.01337,0.01132,0.000693022,0.000693022,0.000693022
14,867.794,1.35177,1.30415,0.01369,0.76788,0.58146,0.66328,0.42866,1.26296,1.02993,0.01209,0.000675023,0.000675023,0.000675023
15,924.927,1.33664,1.25369,0.01348,0.82687,0.64373,0.70065,0.44519,1.29544,1.01031,0.01234,0.000657025,0.000657025,0.000657025
16,982.029,1.32332,1.23763,0.013,0.74152,0.64771,0.65619,0.41332,1.21943,0.97439,0.01138,0.000639027,0.000639027,0.000639027
17,1039.2,1.31584,1.18519,0.01307,0.84852,0.54797,0.64522,0.43398,1.22317,0.90352,0.01136,0.000621029,0.000621029,0.000621029
18,1096.3,1.29148,1.16416,0.01281,0.84596,0.58626,0.6717,0.44142,1.19352,0.9093,0.011,0.000603031,0.000603031,0.000603031
19,1154.1,1.27603,1.13228,0.01231,0.577,0.79899,0.72106,0.4511,1.21425,0.96752,0.01123,0.000585032,0.000585032,0.000585032
20,1211.48,1.29272,1.1478,0.0126,0.80489,0.68006,0.75621,0.51657,1.16679,0.94902,0.01075,0.000567034,0.000567034,0.000567034
21,1285.22,1.26059,1.10103,0.01211,0.76939,0.70566,0.69135,0.46563,1.24297,0.92857,0.01155,0.000549036,0.000549036,0.000549036
22,1364.59,1.25769,1.07211,0.01242,0.83375,0.6419,0.76487,0.49758,1.17523,0.88618,0.01129,0.000531038,0.000531038,0.000531038
23,1444.13,1.24981,1.0668,0.01208,0.76162,0.67697,0.72743,0.47276,1.1437,0.90124,0.01014,0.00051304,0.00051304,0.00051304
24,1522.54,1.23813,1.05107,0.01202,0.7987,0.66273,0.70414,0.4669,1.1389,0.94781,0.01019,0.000495041,0.000495041,0.000495041
25,1601.58,1.22842,1.04229,0.01208,0.7835,0.71597,0.71416,0.47406,1.11468,0.88154,0.00989,0.000477043,0.000477043,0.000477043
