epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.234,0.80533,6.43772,0.01646,0.9447,0.12472,0.5264,0.45209,0.50266,9.45332,0.01161,0.000274615,0.000274615,0.000274615
2,729.713,0.77695,5.02575,0.01587,0.72983,0.67041,0.7517,0.61988,0.60983,6.54691,0.01543,0.000524944,0.000524944,0.000524944
3,1073.51,0.83636,3.88479,0.01679,0.68304,0.61314,0.7213,0.62178,0.57812,5.22854,0.01394,0.000747784,0.000747784,0.000747784
4,1378.26,0.84976,3.07202,0.017,0.71972,0.67883,0.78518,0.67086,0.6311,3.9015,0.01571,0.000709299,0.000709299,0.000709299
5,1667.29,0.85306,2.44685,0.01734,0.86721,0.66741,0.84497,0.70074,0.70052,2.87334,0.01792,0.000668066,0.000668066,0.000668066
6,1955.4,0.79784,1.99418,0.01613,0.85756,0.79103,0.90074,0.77665,0.58946,2.21246,0.0143,0.000626832,0.000626832,0.000626832
7,2281.4,0.7977,1.71816,0.01622,0.83512,0.75912,0.86972,0.77471,0.52222,1.77482,0.01294,0.000585599,0.000585599,0.000585599
8,2568.39,0.77366,1.46547,0.0154,0.881,0.83212,0.92437,0.81184,0.55628,1.33776,0.01347,0.000544365,0.000544365,0.000544365
9,2855.6,0.77624,1.34579,0.01588,0.91796,0.81675,0.92924,0.80351,0.60898,1.18952,0.0153,0.000503132,0.000503132,0.000503132
10,3142.81,0.75479,1.19176,0.01535,0.93671,0.86425,0.9599,0.87142,0.49159,0.94972,0.01224,0.000461898,0.000461898,0.000461898
11,3426.56,0.62161,1.1012,0.01779,0.92753,0.83942,0.94075,0.8482,0.45811,0.96115,0.01101,0.000420665,0.000420665,0.000420665
12,3715.69,0.589,0.86649,0.01729,0.91311,0.88321,0.95039,0.85164,0.48417,0.82865,0.01133,0.000379431,0.000379431,0.000379431
13,4000.67,0.53928,0.73185,0.01503,0.95114,0.88321,0.96336,0.87099,0.50819,0.73326,0.01222,0.000338198,0.000338198,0.000338198
14,4289.95,0.52243,0.65096,0.01483,0.92726,0.84672,0.9502,0.87041,0.42467,0.72195,0.01005,0.000296964,0.000296964,0.000296964
15,4577.69,0.4918,0.56817,0.01377,0.90258,0.89781,0.95519,0.8828,0.44742,0.65967,0.01005,0.000255731,0.000255731,0.000255731
16,4866.03,0.46877,0.54472,0.01322,0.91868,0.90511,0.96278,0.89981,0.38711,0.57298,0.00946,0.000214497,0.000214497,0.000214497
17,5154.81,0.46863,0.53442,0.01354,0.93148,0.89307,0.96111,0.89931,0.3983,0.56878,0.00941,0.000173264,0.000173264,0.000173264
18,5442.77,0.43968,0.47923,0.01235,0.94522,0.88321,0.96447,0.91063,0.38811,0.56576,0.0094,0.000132031,0.000132031,0.000132031
19,5729.16,0.4426,0.47589,0.01253,0.93862,0.88321,0.96541,0.91524,0.34797,0.53246,0.00838,9.0797e-05,9.0797e-05,9.0797e-05
20,6023.77,0.4066,0.43209,0.01115,0.94764,0.86131,0.96375,0.9082,0.35975,0.54109,0.00876,4.95635e-05,4.95635e-05,4.95635e-05
