epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4599,0.8151,5.90083,0.0225,0.03381,1,0.27944,0.21727,0.52487,11.7261,0.02018,0.0003125,0.0003125,0.0003125
2,177.524,0.81837,5.22405,0.02315,0.01951,1,0.23475,0.1311,1.1518,12.2921,0.04483,0.000605944,0.000605944,0.000605944
3,265.161,0.84445,4.36707,0.02302,0.59744,0.47368,0.57365,0.38514,0.97388,10.437,0.03811,0.000867213,0.000867213,0.000867213
4,351.473,0.9099,3.85688,0.0253,0.91612,0.52632,0.86214,0.65692,0.95171,8.80063,0.03674,0.00106437,0.00106437,0.00106437
5,437.81,0.8875,3.35174,0.02406,0.61495,0.84211,0.77497,0.56151,1.05849,7.27671,0.04242,0.0010025,0.0010025,0.0010025
6,525.22,0.85129,2.96028,0.02289,0.72393,0.63158,0.73952,0.43995,1.27523,6.85103,0.0511,0.000940625,0.000940625,0.000940625
7,611.707,0.89394,2.61978,0.02401,0.72634,0.84211,0.87617,0.63214,0.88257,5.33607,0.0344,0.00087875,0.00087875,0.00087875
8,695.916,0.87661,2.42023,0.02357,0.96611,0.89474,0.96689,0.71781,0.95596,4.60098,0.03758,0.000816875,0.000816875,0.000816875
9,782.963,0.80441,2.16845,0.02189,0.73198,0.86299,0.91752,0.72613,0.77171,4.04269,0.02877,0.000755,0.000755,0.000755
10,869.718,0.81433,1.91739,0.02072,0.90378,0.89474,0.95611,0.77567,0.7268,3.52491,0.02684,0.000693125,0.000693125,0.000693125
11,954.985,0.72516,3.41167,0.02927,0.94174,0.85114,0.97932,0.74396,0.83131,3.48868,0.03034,0.00063125,0.00063125,0.00063125
12,1040.93,0.65537,2.95305,0.02681,0.86837,0.78947,0.913,0.70898,0.93653,3.22435,0.03666,0.000569375,0.000569375,0.000569375
13,1128.96,0.5686,2.61431,0.023,0.89431,0.94737,0.95889,0.76597,0.81181,2.70447,0.0305,0.0005075,0.0005075,0.0005075
14,1215.35,0.59597,2.29571,0.02376,0.94385,0.88509,0.95575,0.75103,0.79478,2.50955,0.03002,0.000445625,0.000445625,0.000445625
15,1300.46,0.59775,2.15536,0.02416,0.85566,0.93644,0.95834,0.79926,0.72678,2.2591,0.02685,0.00038375,0.00038375,0.00038375
16,1384.4,0.55218,1.98001,0.02195,0.89934,0.94077,0.95794,0.78242,0.75498,2.15943,0.02815,0.000321875,0.000321875,0.000321875
17,1469.65,0.51646,1.84436,0.0202,0.90342,0.98514,0.98548,0.80565,0.76009,1.94288,0.0288,0.00026,0.00026,0.00026
18,1556.1,0.50332,1.77923,0.01935,0.93242,0.94737,0.98761,0.82188,0.71473,1.88536,0.0269,0.000198125,0.000198125,0.000198125
19,1642.43,0.46008,1.68198,0.0179,0.91806,1,0.9925,0.8327,0.65487,1.85974,0.02412,0.00013625,0.00013625,0.00013625
20,1729.85,0.45055,1.6734,0.01734,0.94947,0.98935,0.99,0.84173,0.67623,1.81336,0.02502,7.4375e-05,7.4375e-05,7.4375e-05
